country,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
Norway,Western Europe,7.537000179,1.616463184,1.53352356,0.796666503,0.635422587,0.362012237,0.315963835
Denmark,Western Europe,7.521999836,1.482383013,1.551121593,0.792565525,0.626006722,0.355280489,0.400770068
Iceland,Western Europe,7.504000187,1.48063302,1.610574007,0.833552122,0.627162635,0.475540221,0.153526559
Switzerland,Western Europe,7.493999958,1.564979553,1.516911745,0.858131289,0.620070577,0.290549278,0.367007285
Finland,Western Europe,7.468999863,1.443571925,1.540246725,0.80915767,0.617950857,0.245482773,0.382611543
Netherlands,Western Europe,7.376999855,1.503944635,1.428939223,0.810696125,0.585384488,0.47048983,0.282661825
Canada,North America and ANZ,7.315999985,1.479204416,1.481348991,0.834557652,0.611100912,0.435539722,0.287371516
New Zealand,North America and ANZ,7.31400013,1.405706048,1.548195124,0.816759706,0.61406213,0.500005126,0.382816702
Sweden,Western Europe,7.28399992,1.494387269,1.478162169,0.830875158,0.612924099,0.385399252,0.384398729
Australia,North America and ANZ,7.28399992,1.484414935,1.510041952,0.843886793,0.601607382,0.47769925,0.30118373
Israel,Middle East and North Africa,7.212999821,1.375382423,1.376289964,0.838404,0.405988604,0.330082655,0.0852421
Costa Rica,Latin America and Caribbean,7.078999996,1.109706283,1.416403651,0.759509265,0.58013165,0.214613229,0.100106589
Austria,Western Europe,7.006000042,1.487097263,1.459944963,0.815328419,0.56776619,0.316472322,0.221060365
United States,North America and ANZ,6.993000031,1.546259284,1.419920564,0.774286628,0.505740523,0.392578781,0.135638788
Ireland,Western Europe,6.977000237,1.535706639,1.558231115,0.809782624,0.573110342,0.427858323,0.298388153
Germany,Western Europe,6.951000214,1.487923384,1.472520351,0.798950732,0.562511384,0.33626917,0.276731938
Belgium,Western Europe,6.890999794,1.463780761,1.462312698,0.818091869,0.539770722,0.231503338,0.251343131
Luxembourg,Western Europe,6.862999916,1.741943598,1.457583666,0.845089495,0.596627891,0.283180982,0.318834424
United Kingdom,Western Europe,6.714000225,1.44163394,1.49646008,0.805335939,0.508190036,0.492774159,0.265428066
Chile,Latin America and Caribbean,6.65199995,1.25278461,1.284024954,0.819479704,0.376895279,0.326662421,0.082287982
United Arab Emirates,Middle East and North Africa,6.647999763,1.626343369,1.266410232,0.726798236,0.60834527,0.360941947,0.324489564
Brazil,Latin America and Caribbean,6.635000229,1.10735321,1.431306005,0.616552353,0.437453747,0.162349895,0.111092761
Czech Republic,Central and Eastern Europe,6.609000206,1.352682352,1.433885217,0.754444003,0.490946174,0.088106759,0.036872927
Argentina,Latin America and Caribbean,6.598999977,1.185295463,1.440451145,0.695137084,0.494519204,0.109457061,0.059739888
Mexico,Latin America and Caribbean,6.578000069,1.153183818,1.21086216,0.709978998,0.412730008,0.120990433,0.132774115
Singapore,Southeast Asia,6.572000027,1.69227767,1.353814363,0.949492395,0.549840569,0.345965981,0.464307785
Malta,Western Europe,6.52699995,1.343279839,1.488411665,0.821944237,0.588767052,0.574730575,0.153066069
Uruguay,Latin America and Caribbean,6.453999996,1.217559695,1.412227869,0.719216824,0.579392254,0.175096929,0.178061873
Guatemala,Latin America and Caribbean,6.453999996,0.872001946,1.255585194,0.54023999,0.531310618,0.283488393,0.077223279
Panama,Latin America and Caribbean,6.452000141,1.233748436,1.373192549,0.706156135,0.550026834,0.210556939,0.070983924
